depth_cm,Year,IIIa5,IIIa6,IIIb5,IIIb6,IIIc5,IIIc6,IIa5,IIa6,IIb5,IIb6,IIc5,IIc6,Ia,Ib,Ic,MBT5Me
19.75,1742,0.226674839,0.064839804,0.002952992,0.003606143,0.000584359,0.000591292,0.253978401,0.096752333,0.018932838,0.014554818,0.003772121,0.000324996,0.279631477,0.028581402,0.004222184,0.384762228
20.25,1735,0.228959827,0.063260083,0.002929905,0.003646998,0.000537375,0.000439301,0.256129263,0.096841123,0.019208338,0.014072054,0.0038942,0.000365697,0.278065332,0.027540563,0.004109941,0.380480085
20.75,1729,0.224970092,0.066852456,0.003515944,0.003778735,0.000714016,0.001104792,0.254299408,0.102602631,0.018076761,0.015354552,0.003649969,0.000378068,0.273449819,0.02720141,0.004051348,0.379905265
21.25,1724,0.236696628,0.06631203,0.002780481,0.003701293,0.000641784,0.000523664,0.260180957,0.098350743,0.01864413,0.014614372,0.003473624,0.000255484,0.263530329,0.026524536,0.003769945,0.363039564
21.75,1719,0.227336026,0.066928283,0.003248454,0.001140127,0.000817211,0.001870835,0.247371632,0.101517457,0.017425209,0.023361551,0.003724306,0.000316854,0.273634129,0.02726452,0.004043406,0.382576401
22.25,1713,0.236693928,0.065161587,0.002760369,0.004193984,0.000460993,0.000245827,0.246932393,0.09923924,0.017882302,0.020404557,0.003572252,0.000370993,0.270468204,0.027476196,0.004137175,0.375914957
22.75,1708,0.232657033,0.063867856,0.002912111,0.005088811,0.000958024,0.000264677,0.257220936,0.095779221,0.018454881,0.02119562,0.003664023,0.000319622,0.26556115,0.027744002,0.004312032,0.369274982
23.25,1703,0.22685875,0.062896534,0.002786646,0.005371251,0.000970151,0.000297038,0.254880854,0.096110787,0.017607703,0.020237577,0.003708005,0.000311975,0.275960024,0.027711529,0.004291177,0.381467734
23.75,1690,0.225195829,0.065541811,0.003350498,0.005711013,0.000724157,0.001138844,0.255105447,0.095821052,0.016772702,0.023891389,0.003566263,0.000361622,0.27414099,0.025104442,0.00357394,0.378574684
24.25,1682,0.222475697,0.06149294,0.003011686,0.004723636,0.000898653,0.000187595,0.261803287,0.091705959,0.019168099,0.020329804,0.003755478,0.000293258,0.27746562,0.028475821,0.004212465,0.381211319
24.75,1674,0.218748399,0.061905599,0.002817372,0.004328398,0.000802371,0.000240018,0.257100755,0.089221411,0.018202299,0.020212043,0.00372685,0.000231186,0.288575145,0.029629097,0.004259057,0.394926483
25.25,1666,0.213405299,0.060934387,0.002710886,0.004474716,0.000804361,0.000206063,0.255996552,0.087469698,0.017954413,0.019567509,0.003595661,0.000217405,0.29832788,0.029778235,0.004556935,0.40567709
25.75,1657,0.206920635,0.065054706,0.002811618,0.005346277,0.000805582,0.000636838,0.248640997,0.093024725,0.016706373,0.02119369,0.003534251,0.000239434,0.303092663,0.027943706,0.004048508,0.415041408
26.25,1650,0.212836866,0.061831373,0.002550855,0.004943087,0.00076491,0.000301737,0.254237645,0.091114269,0.0181934,0.020966489,0.003497402,0.000263807,0.294915191,0.029253025,0.004329943,0.403676402
26.75,1642,0.209686841,0.059780833,0.002560157,0.003937964,0.000700763,0.00018296,0.251116965,0.091287543,0.017868339,0.018303636,0.003466735,0.000209216,0.307907654,0.028546059,0.004444336,0.415947348
27.25,1637,0.210017014,0.062477588,0.002605185,0.004218235,0.000805516,0.000214517,0.257018057,0.090117819,0.017408373,0.019283333,0.003717244,0,0.297332317,0.030185069,0.004599732,0.406726865
27.75,1632,0.203956636,0.068865244,0.003043188,0.004833447,0.000650203,0.001115115,0.246579048,0.104404485,0.017302762,0.022486092,0.003291975,0,0.290291487,0.029051867,0.004128449,0.408779999
28.25,1627,0.213580893,0.066124955,0.002642451,0.005113612,0.000716312,0.000205623,0.242484024,0.107764145,0.018026366,0.023986137,0.003511374,0,0.281050654,0.030443167,0.004350289,0.39983537
28.75,1620,0.222425206,0.063929362,0.00241215,0.004403338,0.000806376,0.000260663,0.249553469,0.106788918,0.017265143,0.020632788,0.003442886,0,0.275123699,0.02892909,0.004026911,0.38639234
29.25,1614,0.224047668,0.065518339,0.002879932,0.004583816,0.00088419,0.000260711,0.261130803,0.099980355,0.017782338,0.01900556,0.003587052,0,0.269327414,0.027186971,0.003824852,0.373881762
29.75,1608,0.223409133,0.064787491,0.003049806,0.005174399,0.000716634,0.001044008,0.249600696,0.100163759,0.017858188,0.022844562,0.003578083,0,0.276369107,0.027589797,0.003814336,0.385371076
30.25,1601,0.219572066,0.062837262,0.002938019,0.004428886,0.00082461,0.000190956,0.252701153,0.097394106,0.017389411,0.020522149,0.003501374,0,0.283514239,0.030045123,0.004140646,0.393503481
30.75,1593,0.20727163,0.057953737,0.002645271,0.004273856,0.000876934,0.000245807,0.2530057,0.094222691,0.017517543,0.019880544,0.003566843,0,0.304184978,0.030047953,0.004306513,0.414706864
31.25,1586,0.21142727,0.058852828,0.002562282,0.005188478,0.000697469,0.000214411,0.24932822,0.098488484,0.015681238,0.022882675,0.003271959,0,0.300898676,0.026759215,0.003746794,0.410234831
31.75,1577,0.216826309,0.063928,0.002943181,0.004059844,0.001394862,0.000790167,0.239538962,0.104957445,0.016740776,0.023857153,0.003377875,0,0.29022825,0.027617548,0.003739627,0.404667013
32.25,1571,0.201477432,0.060950868,0.002661913,0.003947012,0.000596463,0.000799499,0.247629719,0.095749675,0.015971572,0.017139117,0.003231774,0,0.319639787,0.026281637,0.003923533,0.429297817
32.75,1566,0.21259561,0.06159536,0.00277072,0.004839813,0.000410639,0.000686668,0.244402836,0.102398711,0.017225687,0.019693818,0.003285661,0,0.299985325,0.026302556,0.003806595,0.410402635
33.25,1561,0.224565936,0.063215651,0.002619798,0.003904224,0.000471029,0.000188929,0.248375256,0.10167359,0.018691338,0.01677006,0.003517572,0.000254957,0.283171523,0.028618628,0.003961509,0.391079816
33.75,1556,0.220296625,0.063062728,0.002950374,0.004143355,0.000625449,0.00049036,0.242854364,0.110737934,0.018841238,0.016580361,0.003573636,0.000279887,0.282930883,0.028828866,0.003803939,0.395663404
34.25,1551,0.230897892,0.064887013,0.003065524,0.003365334,0.000778681,0.001253513,0.251921663,0.098177084,0.018012591,0.018826099,0.003422745,0,0.274094933,0.027515901,0.003781027,0.378792815
34.75,1546,0.225571981,0.060935352,0.00301202,0.004552159,0.00062144,0.000566701,0.243679612,0.10635941,0.017551584,0.019806721,0.003445809,0.00027582,0.282182738,0.027478723,0.00395993,0.391818797
35.25,1538,0.234831437,0.062830864,0.00306525,0.00457629,0.000629193,0.000375917,0.242120655,0.110709815,0.017938955,0.019460339,0.003518417,0.000269473,0.270600841,0.02549177,0.003580783,0.377154299
35.75,1531,0.246279436,0.066886359,0.004505629,0.004174829,0.000666107,0.000480618,0.244910039,0.109158408,0.018285182,0.018665759,0.003451355,0.000245128,0.254288112,0.024504553,0.003498485,0.356533647
36.25,1525,0.250443097,0.06398472,0.002962892,0.004482073,0.000827559,0.000941365,0.248567855,0.099127136,0.01803513,0.016527833,0.003274772,0.000308407,0.263047503,0.023930947,0.00353871,0.359745398
36.75,1519,0.223807242,0.058539823,0.002490565,0.00400389,0.000495102,0.00036901,0.24575704,0.090816043,0.018002115,0.017407824,0.003315513,0.000373195,0.303447019,0.026948107,0.004227511,0.406989905
37.25,1513,0.225854566,0.058694611,0.002562581,0.004530983,0.000417427,0.000424962,0.241493933,0.098910647,0.016913389,0.019168709,0.00309959,0,0.294465278,0.029321758,0.004141565,0.403758239
37.75,1507,0.232531182,0.061415738,0.002381909,0.003652056,0.000591811,0.000355058,0.246633304,0.096936289,0.018812391,0.019485762,0.0035228,0,0.281876136,0.027746507,0.004059058,0.386470012
38.25,1500,0.23495688,0.061130229,0.002878596,0.001954329,0.001056865,0.002787137,0.250304869,0.100401439,0.01803117,0.018683558,0.003457243,0.000385243,0.272487625,0.02752979,0.003955025,0.376545874
