label,No,Latitude,Longitude,MBT5Me,IR6Me,Seasonality,MAT,MAP,MAT_0,SoP,CV_rainfall,Altitude,SoilPh
Russia - Lena Plateau,228,61.0994,127.34022,0.506247481,0.21,55.46,-8.701231884,310.4191304,11.92695652,29.9,1.85,355,NaN
Scotland-D,229,54.92,-3.33,0.51,0.06,11.0626087,8.202101449,1992.990435,8.202101449,54.3,0.68,8,5.4
Seychelles,230,-4.67,55.31,0.99,NaN,2.294782609,27.16405797,1921.24087,27.16405797,143.6,1.48,5,5.2
South Africa-12,231,-29.52,30.27,0.89,0.39,8.567826087,16.34992754,908.8982609,16.34992754,60.46,1.62,1067,5.5
South Africa-3,233,-29.5,30.92,0.91,0.26,7.764347826,19.06,963.2530435,19.06,54.24,1.44,1067,4.4
Spain-6,234,38.9,-6.27,0.525,0.37,17.7,16.3073913,534.9078261,16.3073913,31.65,1.65,280,6.6
Svalbard-LB1,236,78.22,15.6,0.32,0.43,21.3226087,-8.103550725,510.3373913,2.524927536,9.8,0.63,NaN,4.35
Svalbard-MP,237,79.18,11.17,0.385799492,0.61,19.33043478,-8.074927536,631.0643478,2.62173913,16.37,0.7,NaN,7.805
Svalbard-NA1,238,78.92,11.93,0.325,0.66,18.68173913,-7.107608696,596.853913,2.389855072,15.28,0.7,NaN,7.42
Sweden-15,240,64.18,19.57,0.57,0.07,24.30434783,1.378478261,587.1130435,9.013043478,24.67,0.87,270,4.5
Sweden-17,241,64.2,19.48,0.69,NaN,25.17478261,1.15884058,597.6252174,9.02884058,27.37,0.92,245,4.5
Sweden-4,242,55.82,14.07,0.52,0.7,17.55478261,7.684637681,599.5765217,9.344869565,18.4,0.66,NaN,7.7
Sweden-B,243,59.63,18.43,0.52,0.43,20.2573913,5.985,496.4904348,10.01097826,25.63,1.06,200,4
Turkey-12,244,39.92,29.93,0.71,0.85,19.18434783,9.601376812,730.5434783,9.601376812,39.17,1.4,740,8
Turkey-8,245,37.73,33.57,0.84,0.96,22.16086957,10.91246377,299.7356522,10.91246377,15.87,1.53,1003,8
Uganda-1,246,0.35,29.97,0.71,0.07,1.212173913,17.92782609,1306.693043,17.92782609,46.49,0.88,NaN,3.6
Uganda-3,247,0.83,30.05,0.89,0.6,1.56173913,21.6584058,1172.025217,21.6584058,54.62,1.11,NaN,7.1
Uruguay-7,248,-32.67,-57.83,0.89,0.39,13.25913043,17.49347826,1127.81913,17.49347826,23.78,0.53,60,5.6
Uruguay-8,249,-32,-57.5,0.88,0.32,13.25652174,17.81507246,1161.866957,17.81507246,27.83,0.6,100,5.3
USA-10,250,22.67,-159.4,0.94,0.49,4.2,21.07623188,1916.453043,21.07623188,59.17,0.82,180,5.1
USA-13,251,40.47,-99.47,0.77,0.53,29.02347826,11.16485507,607.9391304,15.55652174,48.25,1.72,600,5.9
USA-17,252,64.87,-147.83,0.38,0.45,38.8773913,-2.982681159,276.266087,11.89530435,31.72,2.11,NaN,7.1
USA-BB1,253,44.9,-68.1,0.635,0.08,26.19826087,5.757318841,1093.23913,11.19652174,14.46,0.31,NaN,4.25
USA-BF1,255,41.6,-80.1,0.65,0.09,25.47130435,9.201811594,1015.843478,13.21671498,13.8,0.49,NaN,4.05
USA-BP1,256,43.8,-102.4,0.49,0.67,28.9426087,8.683043478,410.0243478,13.00173913,45.38,2.1,NaN,7.53
USA-BZ2,257,64.8,-148.3,0.39,0.09,38.30347826,-3.077173913,303.0356522,11.60434783,34.78,2.14,NaN,5.16
USA-CA1,259,36.1,-111.8,0.38,0.6,23.89913043,11.9115942,296.8947826,11.9115942,16.79,1.35,NaN,7.27
USA-CC1,261,45.4,-93.2,0.74,0.35,32.93304348,6.602898551,725.4695652,13.46076087,50.16,1.53,NaN,6.06
USA-CF1,262,42.2,-74.3,0.71,0.07,25.83391304,6.628695652,1192.31913,12.14369565,11.76,0.34,NaN,3.92
USA-CF2,263,41.9,-74.4,0.71,0.16,25.90173913,9.329855072,1137.8,13.39217391,12.13,0.36,NaN,3.63
USA-CL1,265,34.6,-87.7,0.815528859,0.47,21.64695652,15.5042029,1341.486957,15.5042029,40.65,0.65,NaN,5.68
USA-CM1,266,33.3,-96.2,0.69,0.61,22.48869565,17.87318841,1025.733913,17.87318841,49.07,0.92,NaN,7.85
USA-CO1,267,40.4,-105.7,0.35,0.27,21.94608696,0.883478261,437.0573913,8.056521739,14.38,0.73,NaN,6.13
USA-CO2,268,40.6,-105.3,0.42,0.22,23.34956522,6.347608696,382.6330435,10.94130435,28.16,1.53,NaN,5.68
USA-CO3,269,40.8,-104.8,0.53,0.41,24.03217391,8.496231884,390.0104348,11.98009662,33.31,1.73,NaN,6.02
USA-DF1,270,36,-78.1,0.765,0.1,22.01304348,14.45797101,1181.68087,14.45797101,35.51,0.57,NaN,5.37
