ID,Lake,Latitude,Longitude,Core.Depth,Area,Max.depth,pH,Conductivity,Mixing,Nutrients,ReportedMAAT,MAT,MAT_0,MAP,Outliers,IIIa5,IIIa6,IIIb5,IIIb6,IIIc5,IIIc6,IIa5,IIa6,IIb5,IIb6,IIc5,IIc6,Ia,Ib,Ic,MBT5Me,MBT6Me,CBT,IR,fC,Source
LS86,Rattlesnake Lake,30.459483,-85.56696667,5.564,NA,NA,NA,NA,NA,NA,NA,19.48333333,19.48333333,1563.75,0,0.013992665,0.01431511,0,0.00114005,0,0,0.132797258,0.070454033,0.013666512,0.01132563,0.005213244,0,0.562662705,0.133623016,0.040809776,0.821228801,0.884666472,-0.714505523,0.374563713,0.120885376,UA
LS87,Little Rattlesnake Lake,30.462533,-85.573517,2.725,NA,NA,NA,NA,NA,NA,NA,19.48333333,19.48333333,1563.75,0,0.012340697,0.008565325,0.000378934,0.001043356,0,0,0.122655275,0.042454024,0.005505234,0.003352267,0.002069376,0,0.728511476,0.056844861,0.016279176,0.850869621,0.936482286,-1.087149053,0.279010769,0.049302505,UA
LS88,Henry Lee Pond,30.52515,-85.85548,3.7,NA,NA,NA,NA,NA,NA,NA,19.19416667,19.19416667,1554.42,0,0.013217005,0.008909887,0.000358993,0.000642837,0,0,0.117543397,0.044473487,0.005176998,0.002097636,0,0,0.745480677,0.053094105,0.00900498,0.855924825,0.935715987,-1.133158238,0.289841557,0.03922865,UA
LS89,Floodplain Lake 4,30.5358,-85.87165,3.695,NA,NA,NA,NA,NA,NA,NA,19.18583333,19.18583333,1556.18,0,0.010268058,0.005638765,0,0,0,0,0.109680904,0.040788787,0.004361333,0.003599863,0,0,0.774230044,0.043417114,0.008015132,0.869143282,0.942870843,-1.187678007,0.286956936,0.033704287,UA
LS90,False River,30.69115,-91.41861,2,12.4,NA,NA,NA,NA,NA,NA,19.77,19.77,1536.53,0,0.038981074,0.047603583,0.005577553,0.007586416,0,0,0.133645661,0.160605474,0.079617893,0.092399205,0.009752484,0.006773737,0.225331671,0.159675316,0.032449935,0.623347702,0.581363547,-0.077317556,0.543740057,0.20436374,UA
LS91,Lake Bruin,31.96312,-91.20163,3.9,12.14,16.8,NA,NA,NA,NA,NA,18.65666667,18.65666667,1456.33,0,0.056214032,0.06124501,0.008840636,0.008213787,0,0,0.140287307,0.162468039,0.107486121,0.093141447,0.009810138,0.003754797,0.189314612,0.137751133,0.021472942,0.534137503,0.523808623,-0.057042959,0.51036257,0.19668465,UA
LS92,Tokun Lake,60.409,-144.303,32,1.8,32,NA,NA,NA,NA,NA,3.932125243,7.576429013,3289.392118,0,0.395637108,0.102994452,0.007392458,0.001521665,0,0,0.182973347,0.08329162,0.028969285,0.009640547,0.009485851,0.000191752,0.154453445,0.015520751,0.007927718,0.226487676,0.475891748,-0.555821878,0.243839538,0.035655915,UA
LS93,Cabin Lake,60.53,-145.46,4.8,0.1,4.8,NA,NA,NA,NA,NA,4.587916891,7.372500364,2624.377105,0,0.266839225,0.050465395,0.002211736,0.000985686,0,0,0.294883455,0.076949168,0.025419825,0.007954345,0.007436955,0.000300296,0.234132912,0.022593948,0.009827052,0.312235013,0.66319676,-0.73887974,0.187358851,0.038229134,UA
LS94,Cub Lake,60.58,-152.36,34,0.5,34,NA,NA,NA,NA,NA,2.057541683,7.76142879,954.621053,0,0.220655889,0.053827518,0.0052095,0.002242833,0,0,0.285257551,0.071100345,0.018047341,0.006495273,0.003896349,0.005085782,0.300355087,0.02390669,0.003919842,0.385125325,0.714051836,-0.775043979,0.200528473,0.028614762,UA
LS95,Mother Goose Lake,57.2,-157.34,33.7,28,50,4.5,200,Well mixed,NA,NA,2.695000095,7.473571705,563.603023,0,0.29185217,0.027115823,0.002365956,0.001570036,0,0,0.404916537,0.011847954,0.011273728,0.002089746,0.0000182,0.003485334,0.222458051,0.018615098,0.002391397,0.25587258,0.855708556,-1.325483656,0.054804091,0.018518451,UA
LS96,Andrew Lake,51.94,-176.64,26,NA,NA,NA,NA,NA,NA,NA,4.366625222,5.321950272,852.296039,0,0.254571434,0.128348951,0.003603144,0.006683088,0,0,0.182650637,0.160055404,0.022319156,0.034137279,0.005610427,0.00271229,0.168541074,0.022526551,0.008240567,0.302509475,0.381926336,-0.262760714,0.412413633,0.048637146,UA
LS97,Allison Lake,61.05,-146.35,50,1,50,NA,NA,Dimictic,NA,NA,1.25545839,6.17357168,2028.713088,0,0.223453334,0.138097304,0.005858264,0.002472863,0,0,0.235423344,0.121806824,0.010398418,0.013406411,0.005069651,0.00334597,0.227052786,0.011406716,0.002208115,0.338995827,0.468244835,-0.39612845,0.368052553,0.020151357,UA
LS98,Ashley Lake / Heart Lake,51.852,-176.69,8,NA,NA,NA,NA,NA,NA,NA,4.212500215,5.172500262,891.245034,0,0.266707398,0.09762178,0.003784526,0.004887817,0,0,0.226081659,0.129209297,0.021327339,0.019173027,0.005699039,0.001806797,0.198257479,0.019553033,0.005890808,0.303193208,0.476258754,-0.438287899,0.323638297,0.036508143,UA
LS99,Redoubt Lake,60.63,-152.43,28.5,NA,NA,NA,NA,NA,NA,NA,1.801666771,7.589286157,1064.63005,0,0.360066295,0.242662874,0.00398676,0.007907726,0,0,0.126559653,0.125218724,0.003581035,0.007887362,0.000444888,0.00062347,0.116852011,0.003761183,0.000448021,0.198049261,0.243667195,-0.205223019,0.433925403,0.008168701,UA
LS100,Shirley Lake,51.927,-176.556,6.1,NA,NA,NA,NA,NA,NA,NA,4.327041884,5.288000274,885.231039,0,0.259524038,0.136139336,0.005720337,0.006356157,0,0,0.231536246,0.118509745,0.035924065,0.024079566,0.004884645,0.000742384,0.151550441,0.020166241,0.004866799,0.250982881,0.387829513,-0.355248717,0.345940364,0.045761882,UA
LS101,Lower Ohmer Lake,60.456,-150.316,26.2,0.47,NA,NA,NA,NA,NA,NA,2.260416766,8.260000365,495.684024,0,0.271523345,0.167577172,0.010065168,0.009967572,0,0,0.177517724,0.122881603,0.064185593,0.032290434,0.007375579,0.00235767,0.104005803,0.02392399,0.006328347,0.207353346,0.293776764,-0.225463677,0.38607479,0.068569391,UA
LS102,Lone Spruce Pond,60.007,-159.143,22,0.05,22,NA,NA,NA,NA,NA,-0.054166647,9.144000405,1038.914043,0,0.231896313,0.048675983,0.005826733,0.002464294,0,0,0.335766524,0.067589357,0.018145792,0.011202585,0.0000475,0.003702891,0.259374618,0.012457698,0.002849713,0.319215585,0.683033844,-0.802521979,0.178707577,0.024042253,UA
LS103,Cascade Lake 2009,60.13931111,-159.4053833,55,2.96,NA,NA,NA,NA,NA,NA,-1.179166671,7.483000335,772.228031,0,0.217018264,0.115650412,0.015120418,0.007651139,0,0,0.23174898,0.117683355,0.021186771,0.029201632,0.006858746,0.006170274,0.206535294,0.019913746,0.00526097,0.330229286,0.468815705,-0.388637166,0.358415281,0.041912537,UA
LS104,Hidden Lake,60.48,-150.27,45,6.8,45.1,NA,NA,NA,NA,NA,1.896250073,8.130714644,504.044028,0,0.286077159,0.230015573,0.011894273,0.023364636,0,0,0.1302403,0.098785756,0.073295864,0.040953156,0.0110559,0.004801163,0.062363162,0.019496114,0.007656946,0.154570291,0.194909496,-0.103230796,0.430263365,0.078544385,UA
LS105,Judd Lake,61.57,-151.56,35,1.3,NA,6.5,18,NA,Oligotrophic,NA,0.461625059,9.746900457,1053.797035,0,0.166338833,0.036801366,0.001734813,0.002459486,0,0,0.350516905,0.112015839,0.001121514,0.027796717,0.000204269,0.005210041,0.264716123,0.027533271,0.003550822,0.3634903,0.626145986,-0.637299106,0.254270323,0.032084864,UA
LS106,Upper Togiak Lake,59.859,-159.455,67,7.38,67,7.5,62,NA,NA,NA,0.455374976,8.04908369,1255.184045,0,0.377129724,0.108072144,0.006930398,0.003593553,0,0,0.174460617,0.108979279,0.022057426,0.013391575,0.00600853,0.001247449,0.157335165,0.014898311,0.005895829,0.236944317,0.435979883,-0.477065526,0.286588291,0.031631898,UA
LS107,Shadow Bay Lake,60.007,-159.185,69,4.3,69,NA,NA,NA,NA,NA,-0.167499992,9.003000373,1024.109045,0,0.300576459,0.099550391,0.007960246,0.003832544,0,0,0.217102024,0.106124973,0.02094268,0.014640724,0.006014684,0.002755556,0.199350878,0.015661384,0.005487455,0.290467201,0.500208283,-0.501806188,0.290295525,0.031762992,UA
LS108,Sheep Lake,60.035065,-150.369927,24,0.23,NA,NA,NA,NA,NA,NA,1.285104209,6.265000304,1969.767066,0,0.392575058,0.056320716,0.004142796,0.004851528,0,0,0.250458435,0.078572049,0.020512352,0.004381059,0.003429221,0.000122007,0.169401435,0.012484397,0.002748947,0.217683326,0.570021226,-0.757430604,0.173480832,0.021710218,UA
LS109,Robe Lake,61.087,-146.143,5,2.8,5,7,100,Dimictic,NA,NA,3.477083491,8.42707178,1583.653052,0,0.373137936,0.083401834,0.003616912,0.00594009,0,0,0.225206553,0.100776097,0.002659469,0.045815837,0.0000366,0.001800313,0.136114061,0.019167719,0.002326607,0.207758795,0.406624125,-0.499879991,0.276768228,0.036564734,UA
LS110,Arolik Lake slime,59.46326944,-161.1042028,NA,NA,NA,NA,35,NA,NA,NA,0.295833285,8.881000423,887.608043,0,0.227692068,0.155008733,0.001585898,0.00383685,0,0,0.244238026,0.131290911,0.023566784,0.016760335,0.003734534,0.00106701,0.169211168,0.017269478,0.004738205,0.278454159,0.386864335,-0.318687675,0.379509582,0.033882933,UA
