Depth	Ia	 Ib	Ic	IIa5	IIa6	IIb5	IIb6	IIc5	IIc6	IIIa5	IIIa6	IIIb5	IIIb6	IIIc5	IIIc6	percentTerrestrial
161	36.5	7	2.2	24.5	6.8	4.6	2.7	0.9	0.3	8.8	5.6	0	0	0	0	100
160	33.9	7.4	1.9	26.4	7.8	4.3	3	0.8	0.3	9	4.1	0.4	0.5	0.1	0.1	100
159	35.2	7.7	2.1	24.2	6.8	3.9	3.2	0.7	0.3	9.1	5.6	0.5	0.8	0	0	100
158	34.2	6.9	2.1	24.3	7.6	5	3.5	0.9	0.3	8.5	5.4	0.5	0.6	0.1	0.1	100
156	39.1	8.4	2.4	20.4	6.7	3.8	2.7	0.7	0.2	8.7	6	0.3	0.5	0	0	100
154	44.1	6.1	2.3	24.7	4.8	2.8	1.4	0.7	0.1	9.7	2.8	0.4	0.2	0	0	100
152	29.4	7.7	2.7	24.2	7.3	5.7	3.5	1	0.5	10.3	6.2	0.6	0.7	0.2	0	93.5
150	25.3	11.4	3.8	23.3	7	8.1	2.9	2	0.4	9.5	5	0.6	0.6	0.2	0	72.2
149	31.5	7.3	2.4	25.9	8.6	4.8	3.3	0.8	0.4	9.3	4.6	0.4	0.5	0.1	0.1	99.6
147	31.2	7.3	2.4	22.8	9.1	5	3.6	1	0.4	9.8	5.9	0.6	0.7	0.2	0.2	99.2
145	35.7	7.4	2.6	22.6	7.3	4.2	2.6	0.8	0.3	10.3	5.3	0.4	0.5	0	0	100
144	33.7	6.9	2.3	26.3	6.7	4.7	2.2	1	0.3	9.4	5.2	0.5	0.7	0.1	0	100
143	33.5	7.4	2.6	24.1	7.8	5.2	3.2	1	0.4	8.6	5.1	0.4	0.5	0.1	0.1	100
140	31.2	7.8	2.6	26.7	6.6	5.4	3.2	1	0.4	9.1	4.8	0.5	0.5	0.1	0.1	96.7
139	27.4	7.5	2.3	25.8	8.1	5.7	3.2	1.1	0.3	10.9	6.3	0.6	0.8	0.2	0	94.9
138	35	7.3	2.6	25.4	6.4	4.9	2.6	1	0.3	8.5	4.8	0.4	0.6	0.1	0	100
137	36.1	7	2.4	23.9	6.5	4.5	2.6	0.8	0.5	9.7	4.9	0.5	0.6	0	0	100
136	39.7	8.1	3.2	20.8	5.9	4.5	2.2	0.8	0	9.5	4.5	0.4	0.4	0	0	100
